Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2011,Chongqing,10161.2,105.3025618,2944,6.412,7.757,3782.330028,794.1,4571.3,4795.8,3.17,3.5
2011,Shannxi,12175.1,105.7032539,3765,13.2863,13.5035,3900.576181,1187.4,6484.3,4503.4,3.69,3.59
2011,Qinghai,1370.4,106.1384082,568,0.5253,0.6698,413.3523444,152.6,553.1,664.6,8.31,3.76
2011,Heilongjiang,9935,105.8289998,3782,8.6613,11.933,4750.13295,1695.5,4916.3,3323.2,1.07,4.1
2012,Shanghai,21305.6,102.8344176,2399,9.0602,5.13,7840.398861,129.3,8174.1,13002.1,4.2,3.05
2012,Yunnan,11097.4,102.7339839,4631,6.6413,6.3341,3597.850715,1640.4,4458.4,4998.6,6.22,4.03
2012,Neimenggu,10470.1,103.1022099,2464,5.1664,5.9939,4572.54639,1453.2,4553.6,4463.3,3.65,3.73
2012,Beijing,19024.7,103.2581733,2078,11.9139,3.7853,8123.53849,148.4,3856,15020.3,4.74,1.27
2012,Jilin,8678,102.4884618,2698,10.4455,4.3231,4772.94043,1195.6,3315.2,4167.2,0.36,3.65
2012,Sichuan,23922.4,102.5345852,8085,16.966,15.7133,9621.995734,3142.6,11231.1,9548.8,2.97,4.02
2012,Tianjin,9043,102.726286,1378,7.0483,5.4593,3921.42859,147.9,4134,4761.1,2.63,3.6
2012,Ningxia,2131,102.0347925,659,1.2853,0.9908,590.5424199,189,992.5,949.5,8.93,4.18
2012,Anhui,18341.7,102.260803,5978,12.3985,15.9641,6142.829944,2018.6,9247.9,7075.2,6.86,3.68
2012,Shandong,42957.3,102.1034194,9708,21.5228,26.7351,19651.94453,4047.1,21275.9,17634.4,4.95,3.33
2012,Shanxi,11683.1,102.4983405,3548,7.6477,9.7524,4506.80572,642,6852.7,4188.4,4.87,3.33
2012,Guangdong,57007.7,102.8127357,11041,20.6174,21.915,22677.1128,2711.3,27346.1,26950.3,6.95,2.48
2012,Guangxi,11303.6,103.2347694,4694,6.786,10.79,4516.58596,2126.4,4503.1,4674.1,7.89,3.41
2012,Xinjiang,7411.8,103.8259559,2253,3.2799,3.8906,1916.058091,1204.1,3325.9,2881.9,10.84,3.39
2012,Jiangsu,53701.9,102.5659581,8120,24.5089,24.1079,18411.1085,3241.4,27150.8,23309.8,2.45,3.14
2012,Jiangxi,12807.7,102.748452,4475,10.3043,14.3013,4123.303845,1439.1,6893.3,4475.2,7.32,3
2012,Hebei,23077.5,102.5965499,7262,14.7752,18.8327,9254.03456,2914,10919.7,9243.8,6.47,3.69
2012,Henan,28961.9,102.5444967,9532,18.6821,26.0765,10915.61521,3577.2,15042.6,10342.2,5.16,3.08
2012,Zhejiang,34382.4,102.1836939,5685,13.3171,11.8903,14199.59487,1610.8,17040.5,15731.1,4.6,3.01
2012,Hainan,2789.4,103.205702,910,2.0621,2.4011,950.2137578,683.9,747.2,1358.3,8.85,2.01
2012,Hubei,22590.9,102.9048014,5781,18.2844,18.3003,9682.350529,2674.8,11152.6,8763.5,4.88,3.83
2012,Hunan,21207.2,102.0117213,6590,14.528,15.449,8318.658828,2567.9,9926.7,8712.7,6.57,4.23
2012,Gansu,5393.1,102.6933671,2550,6.1918,4.8496,2064.432307,590.9,2493.3,2308.9,6.06,2.68
2012,Fujian,20190.7,102.430492,3841,9.7873,9.4931,7256.54283,1628.9,10527,8034.8,7.01,3.63
2012,Xizang,710.2,103.507472,315,0.4787,0.3426,277.9049588,75.3,226.1,408.8,10.27,2.58
2012,Guizhou,6742.2,102.7135545,3587,4.838,4.613,2266.270891,862.7,2716.8,3162.8,6.31,3.29
2012,Liaoning,17848.6,102.8422733,4375,15.1866,9.5856,9304.244775,1869.3,8886.9,7092.4,-0.39,3.55
2012,Chongqing,11595.4,102.5841022,2975,8.5045,6.7799,4402.992236,879.7,5308.1,5407.6,4,3.3
